Day,2012Pearson daily,2012Spearman daily,2013Pearson daily,2013Spearman daily,2014Pearson daily,2014Spearman daily,2015Pearson daily,2015Spearman daily,2016Pearson daily,2016Spearman daily,2017Pearson daily,2017Spearman daily,2018Pearson daily,2018Spearman daily,2019Pearson daily,2019Spearman daily,2020Pearson daily,2020Spearman daily,2021Pearson daily,2021Spearman daily
1,0.8165434758824303,0.8890962929256798,0.8781374058607468,0.8915250234887814,0.5572392619255757,0.762599865353045,0.7402094249149006,0.8922072262345541,0.755130939508571,0.9301315183544508,0.2998468278504332,0.4595922926801574,0.6168068168946843,0.9015854860783058,0.6758064305108347,0.7857065585838777,0.2059716084328106,0.27029822620319033,0.6416647616390582,0.8030644254329046
2,0.6152944528201963,0.8578565395235391,0.39152910922513945,0.578733710115469,0.37908854852831464,0.7092071576443867,0.37024349552944036,0.6550226660640881,0.6383109657881862,0.7595063568871713,0.4633175543035104,0.8662581491056063,0.24623089997242037,0.7880443245054206,0.6646524663415626,0.7864703807529424,0.871152405697935,0.8011002210627909,0.697017105395279,0.8946749711266611
3,0.7737912122361947,0.920775657956016,0.8312371968718146,0.8393676533946894,0.6616969202331009,0.8337878221091805,0.7506268725025742,0.8017768201872311,0.34483093415816857,0.7147244417731803,0.7598317457463608,0.7852684337497674,0.8080317398875427,0.8905647590501837,0.6102996753687918,0.8284296023582916,0.7190047533549087,0.8645132807627702,0.8266011535980571,0.814751278448024
4,0.7215278265745162,0.8789165730709834,0.5115166496494719,0.5572203987124998,0.8199826152275367,0.8512565307587485,0.7905706079813315,0.9317856544983153,0.3764226638586504,0.7807474805394562,0.3183912580154512,0.8169673206152375,0.7134510760457542,0.7043027717646066,0.6247188052244451,0.8191974046493469,0.7321467038556669,0.8341761666148932,0.5428801968702697,0.7993771319416999
5,0.6442642418680549,0.8300320187931158,0.4959275412904708,0.552561085763542,0.6108350603603279,0.8118354772524894,0.5171305101499136,0.7192192048266229,0.6237213084298022,0.9353420882941104,0.7779528326728555,0.8912933709500622,0.3431305038650131,0.40952752575762774,0.7712783157361254,0.8201489626959853,0.7814557136257917,0.9282229084400874,0.7005899445815682,0.695863181332283
6,0.748982686221773,0.8645253062104135,0.7533801900890431,0.783497082767515,0.39760486620260144,0.9041825568224132,0.4965535859547573,0.9047685742156225,0.7409871899508085,0.8692062537257605,0.7518889797691969,0.8524727560819605,0.8222449010613878,0.9218917335434699,0.2620083221245691,0.42062832034775577,0.5863761010251645,0.9447122275355675,0.8000468982422644,0.8796836633692929
7,0.702952632330677,0.7569038402235252,0.5930216159069094,0.8245607218009537,0.7650118378655207,0.9055602881500455,0.5369430148626171,0.9308862773212288,0.7753376167185398,0.7649424877361752,0.7941078584428187,0.8681854609627738,0.8168964845711217,0.8262887081541738,0.7902390621426009,0.9567564945987056,0.7162494330371716,0.8248413405484903,0.8017130291883081,0.7658596595816465
8,0.6534003150521017,0.7416359012346961,0.5992967734316069,0.7917343457089338,0.46989344639699204,0.5341774924327309,0.6589925121332736,0.7780025938837424,0.761142699974797,0.7570595858577847,0.5851209101257953,0.7396692282587805,0.42169917039394084,0.9207020333700695,0.8004240334655339,0.9215747967715581,0.5443099307414025,0.7997584746155817,0.5325753497940142,0.6978511826359994
9,0.8479965343355392,0.7803366330185837,0.876992469717859,0.9308094746986121,0.7646355514479798,0.8272469643680642,0.7497713567636931,0.732749850885908,0.5318241717894212,0.8317184867289882,0.7863174628040976,0.7294369186835727,0.8612511213061518,0.9170770766573993,0.5592934130303038,0.8991082883078716,0.9190494939098192,0.8256521420909925,0.7307048920305219,0.6369811004404439
10,0.7520090601279203,0.7533653251936319,0.5538492039223764,0.6906709731172169,0.8633738145170567,0.8557156131509088,0.8588002933544431,0.8190993732122502,0.7468688479692958,0.813097918726065,0.7565913247811547,0.9310042302080594,0.326052134580451,0.8811223936784419,0.698668662793134,0.7018245657850901,0.8323044647094775,0.8347911296815972,0.7278445083328615,0.7842869538213684
11,0.8055746229736422,0.8028561889251502,0.6903568934936615,0.8127474586718774,0.7678303536259057,0.820687553066736,0.7338532895908535,0.7790276362049132,0.48568447886145194,0.8864330394344073,0.9008834695245165,0.9074081474374174,0.796952938731172,0.9372301106874932,0.5868284038220395,0.8393925600640469,0.655593727803196,0.7590636397443801,0.6305441613908543,0.8953658296584897
12,0.7078260198039776,0.9171416054954237,0.7138843148698069,0.8572594601639535,0.7784196295330901,0.8145646310494253,0.5648399474501065,0.6661854082868821,0.39033487935304084,0.8342765581403586,0.663686431554461,0.8477157941592253,0.5593141630565237,0.7402080196692382,0.8444003884341416,0.9461981179852114,0.6698283712539084,0.8717862446511363,0.6391194283799949,0.9178054580521039
13,0.60317978970543,0.9299425582645366,0.6004758086469834,0.7979903275076464,0.48654685912410967,0.7605045194476625,0.7652382715805164,0.930633941179583,0.7526846426246653,0.8848951165557369,0.6534775489055337,0.7133530418915512,0.6706550751696628,0.6781453345996062,0.5937474387640507,0.7493344698606358,0.6829764772095429,0.8537509818604304,0.6992760999791062,0.7705263938039155
14,0.7537847144734251,0.7937339820732344,0.6787864353884991,0.8147716275024517,0.6147790774429922,0.8220867510707697,0.8480005623471615,0.8913666862774908,0.7537741291848409,0.8665136223461605,0.5114798766033041,0.8453570745108737,0.8294568185407728,0.9159934786140326,0.4823913126942159,0.8670275403093862,0.7132877401755409,0.8894629486623769,0.5799444606146024,0.8080434983243454
15,0.6964713401122884,0.7770312264130734,0.65208812997723,0.793364475614028,0.4073717432920468,0.8576168769402432,0.7264122126211305,0.9109468878749607,0.6977840466669267,0.8095234370737495,0.3739953754989029,0.6741276383709286,0.8246952019319372,0.8502920470645156,0.7598742328119705,0.8749822987828217,0.893113273019149,0.9660628802104099,0.7178673444445208,0.9035290923485697
