Resource,biomass,conventional_hydroelectric,conventional_steam_coal,conventional_steam_coal_1,conventional_steam_coal_2,conventional_steam_coal_3,natural_gas_fired_combined_cycle,natural_gas_fired_combined_cycle_1,natural_gas_fired_combined_cycle_2,natural_gas_fired_combined_cycle_3,natural_gas_fired_combined_cycle_4,natural_gas_fired_combined_cycle_5,natural_gas_fired_combined_cycle_6,natural_gas_fired_combined_cycle_7,natural_gas_fired_combined_cycle_8,natural_gas_fired_combined_cycle_9,natural_gas_fired_combined_cycle_10,natural_gas_fired_combined_cycle_11,natural_gas_fired_combined_cycle_12,natural_gas_fired_combined_cycle_13,natural_gas_fired_combined_cycle_14,natural_gas_fired_combustion_turbine,natural_gas_fired_combustion_turbine_1,natural_gas_fired_combustion_turbine_2,natural_gas_fired_combustion_turbine_3,natural_gas_fired_combustion_turbine_4,natural_gas_fired_combustion_turbine_5,natural_gas_fired_combustion_turbine_6,natural_gas_fired_combustion_turbine_7,natural_gas_fired_combustion_turbine_8,natural_gas_fired_combustion_turbine_9,natural_gas_fired_combustion_turbine_10,natural_gas_fired_combustion_turbine_11,natural_gas_fired_combustion_turbine_12,natural_gas_fired_combustion_turbine_13,natural_gas_fired_combustion_turbine_14,natural_gas_fired_combustion_turbine_15,natural_gas_steam_turbine,natural_gas_steam_turbine_1,natural_gas_steam_turbine_2,natural_gas_steam_turbine_3,natural_gas_steam_turbine_4,natural_gas_steam_turbine_5,natural_gas_steam_turbine_6,natural_gas_steam_turbine_7,natural_gas_steam_turbine_8,natural_gas_steam_turbine_9,natural_gas_steam_turbine_10,natural_gas_steam_turbine_11,natural_gas_steam_turbine_12,natural_gas_steam_turbine_13,natural_gas_steam_turbine_14,natural_gas_steam_turbine_15,natural_gas_steam_turbine_16,natural_gas_steam_turbine_17,nuclear,nuclear_1,onshore_wind_turbine,small_hydroelectric,solar_photovoltaic,Battery
t10,44.25914047466325,0.0,10.0,0.0,8.999998579321456,1.175791675683474,2.9996192790914997,4.0,6.999995478039097,3.001202894994106,0.0,10.0,3.9993104637131527,4.0,10.953525020021184,1.999248402856069,1.9999999999999998,1.0,3.0,10.999998529608536,0.9999999999999999,0.0,18.713919458639275,0.0,0.0,3.013245033112583,0.0,0.0,11.999913824676304,0.0,0.0,2.0,0.0,0.0,0.0,5.995698737861968,0.0,2.0,2.998854564187575,0.0,4.0,0.2591092595171689,0.0,6.0,2.9999976284603727,5.999985782024213,0.5632107023411371,2.9999879032745835,0.9999999999999999,0.30863431097570704,4.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
t11,44.25914047466325,0.0,10.0,0.0,8.999998579321456,1.175791675683474,2.9996192790914997,4.0,6.999995478039097,3.001202894994106,0.0,10.0,3.9993104637131527,4.0,10.953525020021184,1.999248402856069,1.9999999999999998,1.0,3.0,10.999998529608536,0.9999999999999999,0.0,18.713919458639275,0.0,0.0,3.013245033112583,0.0,0.0,11.999913824676304,0.0,0.0,2.0,0.0,0.0,0.0,5.995698737861968,0.0,2.0,2.998854564187575,0.0,4.0,0.2591092595171689,0.0,6.0,2.9999976284603727,5.999985782024213,0.5632107023411371,2.9999879032745835,0.9999999999999999,0.30863431097570704,4.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
t12,44.25914047466325,0.0,10.0,0.0,8.999998579321456,1.175791675683474,2.9996192790914997,4.0,6.999995478039097,3.001202894994106,0.0,10.0,3.9993104637131527,4.0,10.953525020021184,1.999248402856069,1.9999999999999998,1.0,3.0,10.999998529608536,0.9999999999999999,0.0,18.713919458639275,0.0,0.0,3.013245033112583,0.0,0.0,11.999913824676304,0.0,0.0,2.0,0.0,0.0,0.0,5.995698737861968,0.0,2.0,2.998854564187575,0.0,4.0,0.2591092595171689,0.0,6.0,2.9999976284603727,5.999985782024213,0.5632107023411371,2.9999879032745835,0.9999999999999999,0.30863431097570704,4.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
t13,44.25914047466325,0.0,10.0,0.0,8.999998579321456,1.175791675683474,2.9996192790914997,4.0,6.999995478039097,3.001202894994106,0.0,10.0,3.9993104637131527,4.0,10.953525020021184,1.999248402856069,1.9999999999999998,1.0,3.0,10.999998529608536,0.9999999999999999,0.0,18.713919458639275,0.0,0.0,3.013245033112583,0.0,0.0,11.999913824676304,0.0,0.0,2.0,0.0,0.0,0.0,5.995698737861968,0.0,2.0,2.998854564187575,0.0,4.0,0.2591092595171689,0.0,6.0,2.9999976284603727,5.999985782024213,0.5632107023411371,2.9999879032745835,0.9999999999999999,0.30863431097570704,4.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
t14,44.25914047466325,0.0,10.0,0.0,8.999998579321456,1.175791675683474,2.9996192790914997,4.0,6.999995478039097,3.001202894994106,0.0,10.0,3.9993104637131527,4.0,10.953525020021184,1.999248402856069,1.9999999999999998,1.0,3.0,10.999998529608536,0.9999999999999999,0.0,18.713919458639275,0.0,0.0,3.013245033112583,0.0,0.0,11.999913824676304,0.0,0.0,2.0,0.0,0.0,0.0,5.995698737861968,0.0,2.0,2.998854564187575,0.0,4.0,0.2591092595171689,0.0,6.0,2.9999976284603727,5.999985782024213,0.5632107023411371,2.9999879032745835,0.9999999999999999,0.30863431097570704,4.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
t15,44.25914047466325,0.0,10.0,0.0,8.999998579321456,1.175791675683474,2.9996192790914997,4.0,6.999995478039097,3.001202894994106,0.0,10.0,3.9993104637131527,4.0,10.953525020021184,1.999248402856069,1.9999999999999998,1.0,3.0,10.999998529608536,0.9999999999999999,0.0,18.713919458639275,0.0,0.0,3.013245033112583,0.0,0.0,11.999913824676304,0.0,0.0,2.0,0.0,0.0,0.0,5.995698737861968,0.0,2.0,2.998854564187575,0.0,4.0,0.2591092595171689,0.0,6.0,2.9999976284603727,5.999985782024213,0.5632107023411371,2.9999879032745835,0.9999999999999999,0.30863431097570704,4.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
t16,44.25914047466325,0.0,10.0,0.0,8.999998579321456,1.175791675683474,2.9996192790914997,4.0,6.999995478039097,3.001202894994106,0.0,10.0,3.9993104637131527,4.0,10.953525020021184,1.999248402856069,1.9999999999999998,1.0,3.0,10.999998529608536,0.9999999999999999,0.0,18.713919458639275,0.0,0.0,3.013245033112583,0.0,0.0,11.999913824676304,0.0,0.0,2.0,0.0,0.0,0.0,5.995698737861968,0.0,2.0,2.998854564187575,0.0,4.0,0.2591092595171689,0.0,6.0,2.9999976284603727,5.999985782024213,0.5632107023411371,2.9999879032745835,0.9999999999999999,0.30863431097570704,4.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
t17,44.25914047466325,0.0,10.0,0.0,8.999998579321456,1.175791675683474,2.9996192790914997,4.0,6.999995478039097,3.001202894994106,0.0,10.0,3.9993104637131527,4.0,10.953525020021184,1.999248402856069,1.9999999999999998,1.0,3.0,10.999998529608536,0.9999999999999999,0.0,18.713919458639275,0.0,0.0,3.013245033112583,0.0,0.0,11.999913824676304,0.0,0.0,2.0,0.0,0.0,0.0,5.995698737861968,0.0,2.0,2.998854564187575,0.0,4.0,0.2591092595171689,0.0,6.0,2.9999976284603727,5.999985782024213,0.5632107023411371,2.9999879032745835,0.9999999999999999,0.308634310975707,4.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
t18,44.25914047466325,0.0,10.0,0.0,8.999998579321456,1.175791675683474,2.9996192790914997,4.0,6.999995478039097,3.001202894994106,0.0,10.0,3.9993104637131527,4.0,10.953525020021184,1.999248402856069,1.9999999999999998,1.0,3.0,10.999998529608536,0.9999999999999999,0.0,18.713919458639275,0.0,0.0,3.013245033112583,0.0,0.0,11.999913824676304,0.0,0.0,2.0,0.0,0.0,0.0,5.995698737861968,0.0,2.0,2.998854564187575,0.0,4.0,0.0,0.0,6.0,2.9999976284603727,5.999985782024213,0.5632107023411371,2.9999879032745835,0.9999999999999999,0.308634310975707,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t19,44.25914047466325,0.0,10.0,0.0,8.999998579321456,1.175791675683474,2.9996192790914997,4.0,6.999995478039097,3.001202894994106,0.0,10.0,3.9993104637131527,4.0,10.953525020021184,1.999248402856069,1.9999999999999998,1.0,3.0,10.999998529608536,0.9999999999999999,0.0,18.713919458639275,0.0,0.0,3.013245033112583,0.0,0.0,11.999913824676304,0.0,0.0,2.0,0.0,0.0,0.0,5.995698737861968,0.0,2.0,2.998854564187575,0.0,4.0,0.0,0.0,6.0,2.9999976284603727,5.999985782024213,0.5632107023411371,2.9999879032745835,0.9999999999999999,0.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t20,44.25914047466325,0.0,8.431030777848829,0.0,8.999998579321456,1.175791675683474,2.9996192790914997,4.0,6.999995478039097,3.001202894994106,0.0,10.0,3.9993104637131527,4.0,10.953525020021184,1.999248402856069,1.9999999999999998,1.0,3.0,10.999998529608536,0.9999999999999999,0.0,18.713919458639275,0.0,0.0,3.013245033112583,0.0,0.0,11.999913824676304,0.0,0.0,2.0,0.0,0.0,0.0,5.995698737861968,0.0,2.0,2.998854564187575,0.0,4.0,0.0,0.0,6.0,0.0,5.999985782024213,0.5632107023411371,0.0,0.9999999999999999,0.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t21,44.25914047466325,0.0,8.431030777848829,0.0,8.999998579321456,1.175791675683474,2.9996192790914997,4.0,6.999995478039097,3.001202894994106,0.0,10.0,3.9993104637131527,4.0,10.953525020021184,1.999248402856069,1.9999999999999998,1.0,3.0,10.999998529608536,0.9999999999999999,0.0,18.713919458639275,0.0,0.0,3.013245033112583,0.0,0.0,11.999913824676304,0.0,0.0,2.0,0.0,0.0,0.0,5.995698737861968,0.0,2.0,2.998854564187575,0.0,4.0,0.0,0.0,6.0,0.0,5.999985782024213,0.5632107023411371,0.0,0.9999999999999999,0.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t22,44.25914047466325,0.0,8.431030777848829,0.0,8.999998579321456,1.175791675683474,2.9996192790914997,4.0,6.999995478039097,3.001202894994106,0.0,10.0,3.9993104637131527,4.0,10.953525020021184,1.999248402856069,1.9999999999999998,1.0,3.0,10.999998529608536,0.9999999999999999,0.0,18.713919458639275,0.0,0.0,3.013245033112583,0.0,0.0,11.999913824676304,0.0,0.0,2.0,0.0,0.0,0.0,5.995698737861968,0.0,2.0,2.998854564187575,0.0,4.0,0.0,0.0,6.0,0.0,5.999985782024213,0.5632107023411371,0.0,0.9999999999999999,0.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t23,44.25914047466325,0.0,8.431030777848829,0.0,8.999998579321456,1.175791675683474,2.9996192790914997,4.0,6.999995478039097,3.001202894994106,0.0,10.0,3.9993104637131527,4.0,10.953525020021184,1.999248402856069,1.9999999999999998,1.0,3.0,10.999998529608536,0.9999999999999999,0.0,18.713919458639275,0.0,0.0,0.0,0.0,0.0,11.999913824676304,0.0,0.0,2.0,0.0,0.0,0.0,5.995698737861968,0.0,2.0,2.998854564187575,0.0,4.0,0.0,0.0,6.0,0.0,5.999985782024213,0.5632107023411371,0.0,0.9999999999999999,0.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t24,44.25914047466325,0.0,8.431030777848829,0.0,8.999998579321456,1.175791675683474,2.9996192790914997,4.0,6.999995478039097,3.001202894994106,0.0,10.0,0.0,4.0,10.953525020021184,1.999248402856069,1.9999999999999998,1.0,3.0,10.999998529608536,0.9999999999999999,0.0,18.713919458639275,0.0,0.0,0.0,0.0,0.0,11.999913824676304,0.0,0.0,2.0,0.0,0.0,0.0,5.995698737861968,0.0,2.0,2.998854564187575,0.0,4.0,0.0,0.0,6.0,0.0,5.999985782024213,0.5632107023411371,0.0,0.9999999999999999,0.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t25,44.25914047466325,0.0,8.431030777848829,0.0,8.999998579321456,1.175791675683474,2.9996192790914997,4.0,6.999995478039097,3.001202894994106,0.0,10.0,0.0,4.0,10.953525020021184,1.999248402856069,1.9999999999999998,1.0,3.0,10.999998529608536,0.9999999999999999,0.0,18.713919458639275,0.0,0.0,0.0,0.0,0.0,11.999913824676304,0.0,0.0,2.0,0.0,0.0,0.0,5.995698737861968,0.0,2.0,2.998854564187575,0.0,4.0,0.0,0.0,6.0,0.0,5.999985782024213,0.5632107023411371,0.0,0.9999999999999999,0.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t26,44.25914047466325,0.0,8.431030777848829,0.0,8.999998579321456,1.175791675683474,2.9996192790914997,4.0,6.999995478039097,3.001202894994106,0.0,10.0,0.0,4.0,10.953525020021184,1.999248402856069,1.9999999999999998,1.0,3.0,10.999998529608536,0.9999999999999999,0.0,18.713919458639275,0.0,0.0,0.0,0.0,0.0,11.999913824676304,0.0,0.0,2.0,0.0,0.0,0.0,5.995698737861968,0.0,2.0,2.998854564187575,0.0,4.0,0.0,0.0,6.0,0.0,5.999985782024213,0.5632107023411371,0.0,0.9999999999999999,0.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t27,44.25914047466325,0.0,8.431030777848829,0.0,8.999998579321456,1.175791675683474,2.9996192790914997,4.0,6.999995478039097,3.001202894994106,0.0,10.0,0.0,4.0,10.953525020021184,1.999248402856069,1.9999999999999998,1.0,3.0,10.999998529608536,0.9999999999999999,0.0,18.713919458639275,0.0,0.0,0.0,0.0,0.0,11.999913824676304,0.0,0.0,2.0,0.0,0.0,0.0,5.995698737861968,0.0,2.0,2.998854564187575,0.0,4.0,0.0,0.0,6.0,0.0,5.999985782024213,0.5632107023411371,0.0,0.9999999999999999,0.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t28,44.25914047466325,0.0,8.431030777848829,0.0,8.999998579321456,1.175791675683474,2.9996192790914997,4.0,6.999995478039097,3.001202894994106,0.0,10.0,0.0,4.0,10.953525020021184,1.999248402856069,1.9999999999999998,1.0,3.0,10.999998529608536,0.9999999999999999,0.0,18.713919458639275,0.0,0.0,0.0,0.0,0.0,11.999913824676304,0.0,0.0,2.0,0.0,0.0,0.0,5.995698737861968,0.0,2.0,2.998854564187575,0.0,4.0,0.0,0.0,6.0,0.0,5.999985782024213,0.5632107023411371,0.0,0.9999999999999999,0.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t29,44.25914047466325,0.0,8.431030777848829,0.0,8.999998579321456,1.175791675683474,2.9996192790914997,4.0,6.999995478039097,3.001202894994106,0.0,10.0,0.0,4.0,10.953525020021184,1.999248402856069,1.9999999999999998,1.0,3.0,10.999998529608536,0.9999999999999999,0.0,18.713919458639275,0.0,0.0,0.0,0.0,0.0,11.999913824676304,0.0,0.0,2.0,0.0,0.0,0.0,5.995698737861968,0.0,2.0,2.998854564187575,0.0,4.0,0.0,0.0,6.0,0.0,5.999985782024213,0.5632107023411371,0.0,0.9999999999999999,0.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t30,44.25914047466325,0.0,8.431030777848829,0.0,8.999998579321456,1.175791675683474,2.9996192790914997,4.0,6.999995478039097,3.001202894994106,0.0,10.0,0.0,4.0,10.953525020021184,1.999248402856069,1.9999999999999998,1.0,3.0,10.999998529608536,0.9999999999999999,0.0,18.713919458639275,0.0,0.0,0.0,0.0,0.0,11.999913824676304,0.0,0.0,2.0,0.0,0.0,0.0,5.995698737861968,0.0,2.0,2.998854564187575,0.0,4.0,0.0,0.0,6.0,0.0,5.999985782024213,0.5632107023411371,0.0,0.9999999999999999,0.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t31,44.25914047466325,0.0,8.431030777848829,0.0,8.999998579321456,1.175791675683474,2.9996192790914997,4.0,6.999995478039097,3.001202894994106,0.0,10.0,0.0,4.0,10.953525020021184,1.999248402856069,1.9999999999999998,1.0,3.0,10.999998529608536,0.9999999999999999,0.0,18.713919458639275,0.0,0.0,0.0,0.0,0.0,11.999913824676304,0.0,0.0,2.0,0.0,0.0,0.0,5.995698737861968,0.0,2.0,2.998854564187575,0.0,4.0,0.0,0.0,6.0,0.0,5.999985782024213,0.5632107023411371,0.0,0.9999999999999999,0.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t32,44.25914047466325,0.0,8.431030777848829,0.0,8.999998579321456,1.175791675683474,2.9996192790914997,4.0,6.999995478039097,3.001202894994106,0.0,10.0,0.0,4.0,10.953525020021184,1.999248402856069,1.9999999999999998,1.0,3.0,10.999998529608536,0.9999999999999999,0.0,18.713919458639275,0.0,0.0,0.0,0.0,0.0,11.999913824676304,0.0,0.0,2.0,0.0,0.0,0.0,5.995698737861968,0.0,2.0,2.998854564187575,0.0,4.0,0.0,0.0,6.0,0.0,5.999985782024213,0.5632107023411371,0.0,0.9999999999999999,0.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t33,44.25914047466325,0.0,8.431030777848829,0.0,8.999998579321456,1.175791675683474,2.9996192790914997,4.0,6.999995478039097,3.001202894994106,0.0,10.0,0.0,4.0,10.953525020021184,1.999248402856069,1.9999999999999998,1.0,3.0,10.999998529608536,0.9999999999999999,0.0,18.713919458639275,0.0,0.0,0.0,0.0,0.0,11.999913824676304,0.0,0.0,2.0,0.0,0.0,0.0,5.995698737861968,0.0,2.0,2.998854564187575,0.0,4.0,0.0,0.0,6.0,0.0,5.999985782024213,0.5632107023411371,0.0,0.9999999999999999,0.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t34,44.25914047466325,0.0,8.431030777848829,0.0,8.999998579321456,1.175791675683474,2.9996192790914997,4.0,6.999995478039097,3.001202894994106,0.0,10.0,0.0,4.0,10.953525020021184,1.999248402856069,1.9999999999999998,1.0,3.0,10.999998529608536,0.9999999999999999,0.0,18.713919458639275,0.0,0.0,0.0,0.0,0.0,11.999913824676304,0.0,0.0,2.0,0.0,0.0,0.0,5.995698737861968,0.0,2.0,2.998854564187575,0.0,4.0,0.0,0.0,6.0,0.0,5.999985782024213,0.5632107023411371,0.0,0.9999999999999999,0.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t35,44.25914047466325,0.0,8.431030777848829,0.0,8.999998579321456,1.175791675683474,2.9996192790914997,4.0,6.999995478039097,3.001202894994106,0.0,10.0,0.0,4.0,10.953525020021184,1.999248402856069,1.9999999999999998,1.0,3.0,10.999998529608536,0.9999999999999999,0.0,18.713919458639275,0.0,0.0,0.0,0.0,0.0,11.999913824676304,0.0,0.0,2.0,0.0,0.0,0.0,5.995698737861968,0.0,2.0,2.998854564187575,0.0,4.0,0.0,0.0,6.0,0.0,5.999985782024213,0.5632107023411371,0.0,0.9999999999999999,0.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
